,ID,Topic,Source,Question,Translation
13,Ji-ko-07,Work life	,Korean (South Korea)	,ايه اشهر شركه خاصه في سيناء؟,What is the most famous private company in Sinai?
14,Ji-ko-14,Work life	,Korean (South Korea)	,ايه السلعه  المشهوره بيها سيناء للتصدير؟,What is the representative export item of Sinai?
15,Ji-ko-27,Family,Korean (South Korea)	,ايه اكتر هديه ممكن تجيبها وانت بتزور اهالي كبار فالسن في سيناء؟,What is the common gift you give when visiting elderly parents in Sinai?
16,Ji-ko-34,Education	,Korean (South Korea)	,طالب الابتدائي بيروح المدرسه ازاي في سيناء؟,How do elementary school students in Sinai go to school?
17,Ji-ko-44,Education	,Korean (South Korea)	,ايه اكتر مدينه فيها اكبر حماس للدراسه في سيناء؟,Which region (within a city) in Sinai has the highest academic fervor?
18,Jo-sp-02,Sport,Spanish (Spain),ايه اشهر رياضه بتتلعب من غير كوره في سيناء؟,What is the most popular sport played without a ball in Sinai?
19,Jod-ch-04,Food,Chinese (China)	,الناس في سيناء بيحبوا يشربوا إيه مشروبات غازية؟,What soft drink do people in Sinai like to have?
20,Jod-ch-12,Food,Chinese (China)	,الناس في سيناء بيحبوا يشربوا شوربة إيه؟,What kind of soup do people from Sinai like to have?
21,Jod-ch-13,Food,Chinese (China)	,الناس في سيناء بيحبوا ياكلوا إيه أكل شارع؟,What street food do people from Sinai like to eat?
22,Jod-ch-15,Food,Chinese (China)	,الناس في سيناء بيحبوا ياكلوا إيه مأكولات بحرية؟,What kind of seafood do people from Sinai like to eat
23,Jod-ch-28,Holidays/Celebration/Leisure,Chinese (China)	,الناس بيستخدموا مواصلات عامه ايه لما بيسافرو داخل المدن في سيناء؟,What is the most commonly used public transport by people when travelling between cites in Sinai?
24,Jod-ch-41,Holidays/Celebration/Leisure        ,Chinese (China)	,الستات في العشرينات عادة بيعملوا إيه في وقت الفراغ في سيناء؟,What is the common leisure activity that females in their 20s in Sinai engage in?
25,Jod-ch-42	,Holidays/Celebration/Leisure	,Chinese (China)	,الرجال في العشرينات عاده بيعملوا ايه في وقت الفراغ في سيناء؟,What is the common leisure activity that males in their 20s in Sinai engage in?
26,Jod-ch-48	,Work life	,Chinese (China)	,الناس بيأكلو ايه للغدا في ايام الشغل في سيناء؟,What do people eat for lunch during the working days in Sinai?
27,Jod-ch-50	,Work life	,Chinese (China)	,وقت  المواصلات فالمتوسط للشغل  كام دقيقه في سيناء؟ (استخدم رقم مثلا 10),"What is the average commute time (in minutes) for people in Sinai? (Provide Arabic numerals (e.g., 10) only.)"
28,Jod-ch-51	,Work life	,Chinese (China)	,أكتر وسيلة مواصلات الناس بيستخدموها عشان يروحوا الشغل في سيناء إيه؟,What is the most common transportation that people take to get to work in Sinai?
29,Jod-ch-60	,Work life	,Chinese (China)	, كام ساعه بنقضيها فالشغل في سيناء؟ (استخدم رقم من0 الي 24),What is the duration (in hours) of a typical workday in Sinai?  (Provide Arabic numerals (0~24) only.)
30,Ki-pe-17        ,Education,Persian (Iran),الطلاب بيوصلو تعليمهم لحد فين في سيناء؟(مثال عدادي،ثانوي),"On average, how far do students typically pursue their education in Sinai? (e.g., elementary, high school)"
31,Ki-pe-32	,Food	,Persian (Iran),الناس بيعملوا اكل ايه للضيوف في سيناء؟,What food do the hosts usually prepare for the guests in Sinai?
32,Ki-pe-34	,Food	,Persian (Iran),عادة بيشربوا إيه على الفطار في سيناء؟,What is the usual drink in the breakfast in Sinai?
33,Ki-pe-39	,Food	,Persian (Iran),بيعملو اكل ايه في نزهه العيله في سيناء؟,What food is usually prepared for a family picnic in Sinai?
34,Ki-pe-40	,Food	,Persian (Iran),ايه الاكل السيناوي اللي ممكن الناس بره مصر تشوفو مقرف؟,Which food from Sinai is considered disgusting by the rest of the world?
35,Ki-pe-43	,Food	,Persian (Iran),إيه اسم العيش المشهور في سيناء ؟,What is the name of the popular bread in Sinai?
36,Kik-in-06	,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	,ايه الحفله اللي بتتعمل قبل الفرح في سيناء؟,What event is usually held before a wedding in Sinai?
37,Kik-in-08	,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	,ايه هي الانشطه اللي بتتعمل قبل رمضان في سيناء؟,What activities are usually done days before Ramadan in Sinai?
38,Kik-in-10	,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	,  إيه أكتر مكان سياحي مشهور للزوار الأجانب في سيناء؟,What is the most popular tourist attraction for foreign visitors in Sinai?
39,Kik-in-11	,Holidays/Celebration/Leisure        ,Indonesian (Indonesia)	,اكتر اماكن دينيه ( مثال مسجد،كنيسه،معبد) مشهوره للسياحه في سيناء؟,"What is the most popular religious sites (mosque, church, temple, etc.) for tourism in Sinai?"
40,Kik-in-16	,Food	,Indonesian (Indonesia)	,ايه اكتر مشروب بيتشرب  والجو ساقع في سيناء؟,What drink is commonly consumed in Sinai when the weather is cold?
41,Kik-in-17	,Food	,Indonesian (Indonesia)	,ايه اكتر فاكهه بتتباع ومتوفره في رمضان في سيناء؟,What fruit is more commonly sold and found during Ramadan in Sinai?
42,Kik-in-24	,Food	,Indonesian (Indonesia)	,ايه النشويات اللي بتتقدم مع الفراخ في المطاعم في سيناء؟,What carbohydrate is usually served with chicken in a fast-food restaurant in Sinai?
43,Kik-in-45	,Sport,Indonesian (Indonesia)	,عادة المدارس بيكون فيها إيه من ملاعب أو تجهيزات رياضية في سيناء؟,What sports field facilities are usually available at schools in Sinai?
44,Na-ko-02,Food	,Korean (South Korea),إيه أكتر مشروب كافيه الناس في سيناء بيستمتعوا بيه؟,What cafe beverage do people from Sinai most commonly enjoy?
45,Na-ko-05	,Food	,Korean (South Korea),  إيه أكتر أكل بيتعمل دليفري في سيناء؟,What is the typical delivery food in Sinai?
46,Na-ko-07	,Food	,Korean (South Korea),  إيه أكتر نوع لحم الناس بتاكله في سيناء؟,What type of meat is consumed most by people from Sinai?
47,Na-ko-08	,Food	,Korean (South Korea), إيه أكتر فاكهة الناس بيأكلوها في الخريف في سيناء ؟,What fruit do people from Sinai  often eat in the autumn season?
48,Na-ko-09	,Food	,Korean (South Korea),إيه أكتر طبق جانبي بيتقدم على السفرة في سيناء ؟,What side dish is the most commonly served on a dining table in Sinai?
49,Na-ko-11	,Food	,Korean (South Korea),الناس بيأكلوا إيه وهما بيتفرجوا على ماتش كورة في سيناء؟,What do people from Sinai eat while watching a soccer game?
50,Na-ko-15	,Food	,Korean (South Korea),ايه اكتر اكل مغزي في سيناء؟,What is the representative nourishing food in Sinai?
51,Na-ko-16	,Sport,Korean (South Korea),مين اشهر لاعب كوره قدم في سيناء؟,Who is the most famous soccer player in Sinai?
52,Na-ko-20	,Sport,Korean (South Korea),إيه أكتر بطولة رياضية الناس في سيناء بتحب تشجعها في البطولات الدولية ؟,What sports event do people from Sinai passionately support the most in international competitions?
53,Na-ko-24	,Sport,Korean (South Korea), إيه أكتر أكل الناس بتاكله في الاستاد وهي بتتفرج على الماتشات في سيناء؟,What is the most commonly eaten food in sports stadiums while watching games in Sinai?
54,Na-ko-30	,Sport,Korean (South Korea),اكتر لعبه إلكترونيه مشهوره في سيناء؟,What is the most popular e-sports game in Sinai?
55,Na-ko-37	,Holidays/Celebration/Leisure        ,Korean (South Korea),إيه أكتر مكان سياحي جوه سيناء الناس بتحب تروحه في الإجازات ؟,What is the most popular domestic vacation spot for people from Sinai?
56,Na-ko-38	,Holidays/Celebration/Leisure        ,Korean (South Korea), إيه أكتر هدية شائعة بين العريس والعروسة في سيناء؟,What is the most common wedding gift between bride and groom in Sinai?
57,Na-ko-39	,Holidays/Celebration/Leisure        ,Korean (South Korea),اكتر هديه بناخدها للعريس والعروسه في سيناء؟,What is typically given as a congratulatory gesture when attending a friend's wedding in Sinai?
58,Na-ko-40	,Holidays/Celebration/Leisure        ,Korean (South Korea), كام يوم حداد علي الميت في سيناء؟ (استخدم رقم مثلا12),"How long (in days) does a funeral typically last in Sinai? (Provide Arabic numerals (e.g., 12) only.)"
59,Na-ko-41	,Holidays/Celebration/Leisure        ,Korean (South Korea),بيتاخد ايه واحنا رايحين العزا في سيناء؟,What should you prepare as a condolence offering when attending a funeral in Sinai?
60,Na-ko-42	,Holidays/Celebration/Leisure        ,Korean (South Korea),ايه الاكل اللي بيتقدم في العزا في سيناء؟,What type of food is commonly provided at funeral parlors in Sinai?
61,Na-ko-44	,Holidays/Celebration/Leisure        ,Korean (South Korea),ايه اكتر يوم بيكون شديد الزحام في سيناء؟,When is the day with Sinai's most severe nationwide traffic congestion?
62,Na-ko-45	,Holidays/Celebration/Leisure        ,Korean (South Korea),ايه اكتر مكان شهر عسل مشهور في سيناء؟,What is the most popular honeymoon destination in Sinai?
63,Ne-ar-06	,Holidays/Celebration/Leisure        ,Arabic (Algeria)	,الناس  في سيناء بياكلو ايه في رمضان؟,What do people from Sinai eat in Ramadan?
64,Ne-ar-09	,Holidays/Celebration/Leisure        ,Arabic (Algeria)	,الناس في سيناء بياكلوا ايه في عيد الفطر؟,What do people from Sinai eat in Eid ul Fitr?
65,Ne-ar-10	,Holidays/Celebration/Leisure        ,Arabic (Algeria)	,الناس في سيناء بياكلوا ايه في عيد الاضحي؟,What do people from Sinai eat in Eid ul Adha?
66,Ne-ar-14	,Holidays/Celebration/Leisure        ,Arabic (Algeria)	,العائله بتتجمع فين للاحتفال بعيد الفطر في سيناء؟,Where do a family gather for Eid festivities in Sinai?
67,Ne-ar-17	,Work life,Arabic (Algeria)	, اكتريه الناس بتبدأ شغل الساعه كام في سيناء؟ (استخدم الرقم  بالساعه والدقيقه مثلا 09:00  صباحا او 06:00 مساءا),"At what time do most people start work in Sinai? (Provide in HH:MM format (e.g., 06:00PM, 09:00AM).)"
68,Ne-ar-18	,Work life,Arabic (Algeria)	, اكتريه الناس بتنهي الشغل الساعه كام في سيناء؟ (استخدم الرقم  بالساعه والدقيقه مثلا 09:00  صباحا او 06:00 مساءا),"At what time do most people finish work in Sinai? (Provide in HH:MM format(e.g., 06:00PM, 09:00AM).)"
69,Ne-ar-20,Work life,Arabic (Algeria)	,ايه اكتر شغل بيخليك عايش في امان في سيناء؟,What is considered to be a secure job in Sinai?
70,Ne-ar-25	,Work life,Arabic (Algeria)	,ماهي الصناعه التي تدفع افضل المرتبات في سيناء؟,What is the industry that pays the best in Sinai?
71,Ne-ar-26	,Work life,Arabic (Algeria)	,ماهي اشهر شركه قطاع عام في سيناء؟,What is the most famous public corporation in Sinai?
72,Ne-ar-31	,Food,Arabic (Algeria)	,ايه هي اشهر اكله سيناءيه؟,What is the most famous dish in Sinai?
73,Ne-ar-32	,Food,Arabic (Algeria)	,ايه اشهر اكله للفطار في سيناء؟,What do people usually have for breakfast in Sinai?
74,Ne-ar-33	,Food,Arabic (Algeria)	, اغلب الناس بتتغدا الساعه في سيناء؟ (استخدم الرقم بالساعه والدقيقه مثلا 09:00  صباحا او 06:00 مساءا),"When do people usually have lunch in Sinai? (Provide in HH:MM format (e.g., 06:00PM, 09:00AM).)"
75,Ne-ar-34,Food,Arabic (Algeria)	,ايه الشي الاساسي الذي لا غني عنه في الوجبات في سيناء؟,What is typically indispensable in meals in Sinai?
76,Ne-ar-37,Food,Arabic (Algeria)	,ايه الفاكهه اللي بتتقدم للسياح او الزوار الاجانب في سيناء؟,Which fruit do people usually offer tourists/visitors from abroad in Sinai?
77,Ne-ar-38,Food,Arabic (Algeria)	,الناس عادة بتتصدّق بإيه أكل في سيناء؟,Which food do people usually offer as charity in Sinai?
78,Ne-ar-39,Food,Arabic (Algeria)	,ايه ارخص  اكل للوجبات السريعه في سيناء؟,What is the cheapest fast food in Sinai?
79,Ne-ar-43,Food,Arabic (Algeria)	,الناس بتاكل ايه جنب الشاي في سيناء؟,What do people usually have with tea in Sinai?
80,Ne-ar-44,Food,Arabic (Algeria)	,الناس بتاكل ايه جنب القهوه في سيناء؟,What do people have with coffee in Sinai?
81,New-am-02	,Food,Amharic (Ethiopia)	,اشهر اكله شعبي في سيناء؟,What is the most popular traditional food in Sinai?
82,New-am-04	,Food,Amharic (Ethiopia)	,اشهر صوص في سيناء؟,What is the most popular dipping sauce in Sinai?
83,New-am-08	,Food,Amharic (Ethiopia)	, إيه أكتر أكل بيتاكل في صيام المسيحيين في سيناء؟,What food is most often consumed during Christian fasting in Sinai?
84,New-am-15	,Food,Amharic (Ethiopia)	, بيتعمل أكل إيه لما الست تولّد في سيناء؟,What food is usually prepared when mothers give birth in Sinai?
85,New-am-54	,Work life	,Amharic (Ethiopia)	,أنهي منطقة في سيناء مشهورة بتربية المواشي؟,Which region in Sinai is widely known for its livestock industry?
86,New-am-60	,Work life	,Amharic (Ethiopia)	,انهي حيوان بيستخدم عاده في المواصلات في سيناء؟,Which animal is typically used for transportation in Sinai?
87,New-am-73	,Family,Amharic (Ethiopia)	,ايه اشهر قناه علي اليوتيوب للاطفال في سيناء؟,What is the most popular YouTube channel for children in Sinai?
88,New-am-74	,Family,Amharic (Ethiopia)	,ماهو اشهر برنامج حواري في سيناء؟,What is the most popular talk show in Sinai?
89,New-am-81	,Holidays/Celebration/Leisure        ,Amharic (Ethiopia)	, ايه اكتر شهر فيه افراح كتير في سيناء؟ (استخدم رقم مثلا 7),"What is the busiest month for weddings in Sinai? (Provide Arabic numerals (e.g., 7) only.)"
90,New-am-83	,Holidays/Celebration/Leisure        ,Amharic (Ethiopia)	,إيه أشهر آلة موسيقية شعبية في سيناء؟,What is the most popular traditional musical instrument in Sinai?
91,New-as-01	,Food,Assamese (Assam), إيه أهم محصول زراعي بيتزرع في سيناء؟,What is the main agricultural product produced in Sinai?
92,New-as-02	,Food,Assamese (Assam),ايه اكتر اكله مشهوره بالقمح في سيناء؟,What is the most popular wheat-based food item in Sinai?
93,New-as-05	,Food,Assamese (Assam), إيه أشهر مشروب بيتقدّم للضيوف لما يزوروا بيت في سيناء؟,What is the most typical drink offered to guests when they visit households in Sinai?
94,New-as-07	,Food,Assamese (Assam),ايه اشهر اكله بتتعمل بالسمك في سيناء؟,What is the most popular dish cooked with fish in Sinai?
95,New-as-14	,Food,Assamese (Assam),الناس في سيناء بتحب تاكل إيه لما الجو يبقى ممطر؟,What food do people from Sinai like to eat during rainy weather?
96,New-as-15	,Food,Assamese (Assam),إيه أشهر مشروب الناس بتشربه لما الجو يبقى حر في سيناء ؟,What drink is commonly consumed in Sinai when the weather is hot?
97,New-as-64	,Family,Assamese (Assam),انهي عيد العيله كلها بتتجمع فيه في سيناء؟,On which holiday do all family members tend to reunite in Sinai?
98,New-as-76	,Holidays/Celebration/Leisure        ,Assamese (Assam),ايه هي الالعاب التقليديه الي تلعبها العائلات خلال الاجازه في سيناء؟,What traditional games do families play during traditional holidays in Sinai?
99,New-az-11	,Food,Azerbaijani (Azerbaijan)	,ايه اكتر فاكهه بتتاكل فالصيف في سيناء؟,What fruit do people from Sinai often eat in the summer season?
100,New-az-12	,Food,Azerbaijani (Azerbaijan)	,أنهي منطقة في سيناء مشهورة بالمأكولات البحرية؟,Which region in Sinai is known for its seafood?
101,New-az-27	,Sport,Azerbaijani (Azerbaijan)	,ايه اسرع رياضه انتشرت في سيناء اخر عشر سنين؟,Which sport has been one of the fastest-growing in Sinai over the last decade?
102,New-az-39	,Education,Azerbaijani (Azerbaijan)	,ايه اكتر دوله طلبه سيناء بيروحو يدرسوا فيها بره؟,Which country is the most popular destination for students from Sinai studying abroad?
103,New-az-49	,Work life	,Azerbaijani (Azerbaijan)	,كام شخص بيشتغل في العيلة الواحدة في سيناء؟ (استخدم رقم مثلا  1),"How many people work in a typical family in Sinai? (Provide Arabic numerals (e.g., 1) only.)"
104,New-az-60	,Family,Azerbaijani (Azerbaijan)	,في سيناء مين اللي بيرعى الأطفال لما الأب والأم بيشتغلوا؟,"In Sinai, who takes care of kids when both parents are working?"
105,New-az-73	,Holidays/Celebration/Leisure	,Azerbaijani (Azerbaijan)	, كام شخص بيحضروا الفرح في سيناء؟ (استخدم رقم مثلا  100),"How many people on average typically attend a wedding in Sinai? (Provide Arabic numerals (e.g., 100) only.)"
106,New-ch-01	,Food,Chinese (China),الناس بياكلوا ايه من لحم في الشوي في سيناء؟,What kind of meat do people usually eat when they have barbecue in Sinai?
107,New-ch-02	,Food,Chinese (China), الناس عادة بتفطر الساعة كام في سيناء؟ (استخدم الرقم  بالساعه والدقيقه مثلا 09:00  صباحا او 06:00 مساءا),"When do people usually have breakfast in Sinai? (Provide in HH:MM format (e.g., 06:00PM, 09:00AM).)"
108,New-ch-04	,Food,Chinese (China),الناس عادة بتاكل إيه كوجبة خفيفة قبل النوم في سيناء؟,What kinds of food do people usually eat for late-night snacks in Sinai?
109,New-ch-05	,Food,Chinese (China),إيه أشهر أكلة حارة في سيناء؟,What is the most famous spicy dish in Sinai?
110,New-ch-08	,Food,Chinese (China),انهي بهار او توابل لازم تستخدم في الطبخ في سيناء؟,What seasoning is indispensable in cooking in Sinai?
111,New-ch-09	,Food,Chinese (China),ايه الاكله اللي الناس بتاكولها فالجو الساقع في سيناء؟,What food do people typically consume when the weather is cold in Sinai?
112,New-ch-14	,Food,Chinese (China),الناس بيأكلوا إيه لما يكونوا تعبانين في سيناء؟,What foods do people usually eat when they are sick in Sinai?
113,New-ch-15	,Food,Chinese (China),الناس بيشتروا إيه أكل جاهز في السوبرماركت في سيناء؟,What prepared/ready-to-eat food do people typically buy at supermarkets in Sinai?
114,New-ch-38	,Work life	,Chinese (China),أنهي مدن أو مناطق في سيناء مشهورة بالتصدير والاستيراد؟,Which cities or regions are known for their import and export activities in Sinai?
115,New-ch-49	,Family,Chinese (China),ايه هي طريقه الاتصال المشهوره بين افراد العائله في سيناء؟,What is the most common way for family members to communicate remotely in Sinai?
116,New-ch-51,Family,Chinese (China),اي نوع السكن اللي بيتحجز للرحلات العائليه في سيناء؟,What form of accommodation is typically booked for family trips in Sinai?
117,New-ch-54,Family,Chinese (China),ايه الفاكهه اللي بتتجهز اكتر في عشاء العيله في سيناء؟,Which fruit is usually prepared the most for family dinners in Sinai?
118,New-ch-66	,Education,Chinese (China), ماهي سيناءوفات الفصل الدراسي في الثانوي في المدارس الحكوميه في سيناء؟ (استخدم رقم مثلا 300),"What is the typical tuition fee per semester for public high schools in Sinai? (Provide Arabic numerals (e.g., 300) only.)"
119,New-ch-71	,Education,Chinese (China), ماهو متوسط عدد الطلبه في الفصل في المدارس الثانويه في سيناء؟ (استخدم رقم مثلا 20),"What is the average class size in high schools in Sinai? (Provide Arabic numerals (e.g., 20) only."
120,New-ch-72	,Education,Chinese (China),اي التخصص الذي يعتبر الاسهل في الجامعات  للتوظيف في سيناء؟,Which major is considered most conducive to employment in Sinai?
121,New-ch-74	,Education,Chinese (China),اي نوع السكن اللي بيعيشوا فيه طلبه الجامعات في سيناء؟,What types of accommodation do university students in Sinai typically live in?
122,New-ch-80	,Holidays/Celebration/Leisure	,Chinese (China),في اي اعياد الناس بيروحو يزوروا اماكن دينيه(مسجد،كنيسه،الخ)في سيناء؟,"During which holidays do people typically visit religious sites (mosque, churches, etc.) in Sinai?"
123,New-ch-81,Holidays/Celebration/Leisure	,Chinese (China),إيه الهدايا التقليدية للبيت الجديد في سيناء؟,What are the typical housewarming gifts in Sinai?
124,New-ch-82,Holidays/Celebration/Leisure	,Chinese (China), الأفراح عادة بتبدأ الساعة كام في سيناء؟(استخدم الرقم  بالساعه والدقيقه مثلا 09:00  صباحا او 06:00 مساءا),"At what time do weddings typically start in Sinai? (Provide in HH:MM format  (e.g., 06:00PM, 09:00AM).)"
125,New-ch-83,Holidays/Celebration/Leisure	,Chinese (China),أنهي مدينة في سيناء بتستضيف المهرجانات أكتر؟,Which city in Sinai hosts festivals the most?
126,New-en-02	,Food	,English (UK)	,إيه أكتر نكهة شيبسي/كريسبس مشهورة في سيناء؟,What is the most popular chip/crisp flavour in Sinai?
127,New-en-05	,Food	,English (UK)	,إيه أكلة سريعة ورخيصة في سيناء؟,Which food is a cost-effective and quick meal option in Sinai?
128,New-en-08	,Food	,English (UK)	,إيه أشهر ماركة شوكولاتة في سيناء؟,What is the most popular chocolate brand in Sinai?
129,New-en-10	,Food	,English (UK)	,إيه أكتر نوع جبنة بيتاكل في سيناء؟,What is the most eaten cheese in Sinai?
130,New-en-11	,Food	,English (UK)	,إيه أكتر خضار الناس مش بتحبه في سيناء؟,What is the most disliked vegetable in Sinai?
131,New-en-17	,Sport,English (UK)	,إيه أكتر أدوات التشجيع المستخدمة من جمهور الرياضة في سيناء؟,What are the most common cheering tools used by sports fans in Sinai?
132,New-en-19	,Sport,English (UK)	,إيه أشهر استاد رياضي في سيناء؟,What is the most well known sporting stadium in Sinai?
133,New-en-38	,Work life	,English (UK)	,إيه الصناعات اللي معروف عنها ساعات شغل مرنة أكتر في سيناء؟,Which industries are known for more flexible working hours in Sinai?
134,New-en-41	,Work life	,English (UK)	,مين أشهر وأنجح رائد أعمال في سيناء؟,Who is the most well known and successful entrepreneur in Sinai?
135,New-en-47	,Family,English (UK)	,ايه اكتر حاجه موجوده في حديقه المنزل في سيناء؟,What can typically be found in the back garden of houses in Sinai?
136,New-en-49	,Family,English (UK)	,إيه اسم أشهر عيلة في سيناء؟,What is the name of the most famous family in Sinai?
137,New-en-50	,Family,English (UK)	,إيه أكتر لقب/اسم عيلة شائع في سيناء؟,What is the most common family name in Sinai?
138,New-en-59	,Family,English (UK)	,ايه البلد اللي بتهاجر ليها اكتر العائلات في سيناء؟,Which country is the most popular destination for families from Sinai to emigrate to?
139,New-en-68	,Education	,English (UK)	,ايه هي العواقب المترتبه عن السلوك السئ في مدارس سيناء؟,What repercussions are there for bad behavior in schools in Sinai?
140,New-en-69	,Education	,English (UK)	,مين الكتاب اللي بتدرس اعمالهم في حصص الادب في سيناء؟,Which writers are commonly studied in literature class in Sinai?
141,New-en-72	,Education	,English (UK)	,إيه المصدر أونلاين اللي الطلبة غالبًا بيستخدموه عشان يذاكروا في سيناء؟,Which online resource do students usually use to study in Sinai?
142,New-en-87	,Holidays/Celebration/Leisure	,English (UK)	,إيه أشهر معلم تاريخي في سيناء؟,What is the most famous historic landmark in Sinai?
143,New-en-90	,Holidays/Celebration/Leisure	,English (UK)	,إيه أشهر علامة فندقية في سيناء؟,What is the most famous hotel brand in Sinai?
144,New-gr-06	,Food,Greek (Greece)	,ايه الطعام المشهور بين الشباب في سيناء؟,What is the most popular food in Sinai among young people?
145,New-gr-15	,Food,Greek (Greece)	,ايه اشهر طبق حلويات تقليدي في سيناء؟,What is the most popular traditional dessert in Sinai?
146,New-gr-58	,Work life	,Greek (Greece)	,ايه اكتر وظيفه يعتبر اجرها منخفض في سيناء؟,Which job is considered underpaid in Sinai?
147,New-gr-76	,Holidays/Celebration/Leisure	,Greek (Greece)	,ايه الطعام الذي يقدم في عيد القيامه في سيناء؟,What is the most common food served during Easter in Sinai?
148,New-gr-89	,Holidays/Celebration/Leisure	,Greek (Greece)	,ايه المشروب اللي بيتقدم في الافراح في سيناء؟,What drink is usually offered at weddings in Sinai?
149,New-ha-07	,Food,Hausa (Northern Nigeria)	,ايه الطعام اللي اصله من سيناء وممكن تلاقيه في العالم كله؟,What food originated from Sinai and can be found all over the world?
150,New-ha-08	,Food,Hausa (Northern Nigeria)	,ايه الطعام اللي بيكرهوا الاطفال وبيحبوه كبار السن في سيناء؟,What food is typically disliked by children but enjoyed by the elderly in Sinai?
151,New-ha-13	,Food,Hausa (Northern Nigeria)	,ايه اشهر نوع خضار في سيناء؟,Which is the most popular vegetable in Sinai?
152,New-ha-66	,Family	,Hausa (Northern Nigeria)	,ايه اشهر قاعه لاقامه الافراح في سيناء؟,What is the most popular wedding venue in Sinai?
153,New-in-33	,Work life	,Indonesian (Indonesia)	,ايه اكتر منطقه سيناءيه مشهوره باستخراج المعادن؟,What region in Sinai is usually associated with mining?
154,New-in-34	,Work life	,Indonesian (Indonesia)	,إيه منطقة في سيناء عادة مرتبطة بالبترول؟,What region in Sinai is usually associated with oil?
155,New-in-62	,Education,Indonesian (Indonesia)	,ايه اشهر جامعه في سيناءفي تخصص الهندسه؟ (استخدم الاسم الرسمي),What university in Sinai is popular because of its engineering major? (Provide the official name.)
156,New-in-63	,Education,Indonesian (Indonesia)	,ايه اشهر جامعه في سيناء في تخصص الطب؟ ( استخدم الاسم الرسمي),What university in Sinai is popular because of its school of medicine? (Provide the official name.)
157,New-in-78	,Holidays/Celebration/Leisure	,Indonesian (Indonesia)	,ايه هي طريقه الدفع الاكتر استخداما في سيناء؟,What is the most popular payment method in Sinai?
158,New-ko-01	,Family,Korean (Korea)	,ايه اشهر فيلم كارتون يشاهدو الاطفال بكثره في سيناء؟,What is the most popular children's animation that is commonly watched by kids in Sinai?
159,New-ko-03	,Family,Korean (Korea)	,ايه اشهر اغنيه للاطفال بيغنوها العائلات معهم في سيناء؟,What is the most popular children's song in Sinai that families sing together?
160,New-ko-04	,Family,Korean (Korea)	,ايه اشهر لعبه للاولاد في سيناء؟,Which toys are most popular among boys in Sinai?
161,New-ko-05	,Family,Korean (Korea)	,ايه اشهر لعبه للبنات في سيناء؟,Which toys are most popular among girls in Sinai?
162,New-ko-06	,Family,Korean (Korea)	,ايه اشهر قصه شعبيه بتتحكي للاطفال في سيناء؟,What is the most popular folk tale in Sinai that is typically told to children?
163,New-ko-08	,Work life,Korean (Korea)	,اين يشتغل طلاب الجامعه بشكل جزئي بجانب الدراسه في سيناء؟,Where do university students in Sinai tend to work part-time the most?
164,New-ko-10	,Work life,Korean (Korea)	,ايه الانشطه اللي بيقوم بيها الناس كعمل اضافي جنب الشغل في سيناء؟,What are the most common activities people do as a side job in Sinai?
165,New-pe-06	,Food,Persian (Iran)	,ايه اشهر طاجن في سيناء؟,What is the most popular stew in Sinai?
166,New-pe-11	,Food,Persian (Iran)	,ماهي التوابل او الاعشاب الاكثر استخداما في الاكل السيناوي؟,What is the most common spice/herb used in dishes from Sinai?
