x,ID,Topic,Source,Question,Translation
41,Kik-in-17	,Food	,Indonesian (Indonesia)	,ايه اكتر فاكهه بتتباع ومتوفره في رمضان في الإسكندرية؟,What fruit is more commonly sold and found during Ramadan in Alexandria?
42,Kik-in-24	,Food	,Indonesian (Indonesia)	,ايه النشويات اللي بتتقدم مع الفراخ في المطاعم في الإسكندرية؟,What carbohydrate is usually served with chicken in a fast-food restaurant in Alexandria?
43,Kik-in-45	,Sport,Indonesian (Indonesia)	,عادة المدارس بيكون فيها إيه من ملاعب أو تجهيزات رياضية في الإسكندرية؟,What sports field facilities are usually available at schools in Alexandria?
44,Na-ko-02,Food	,Korean (South Korea),إيه أكتر مشروب كافيه الناس في الإسكندرية بيستمتعوا بيه؟,What cafe beverage do people from Alexandria most commonly enjoy?
45,Na-ko-05	,Food	,Korean (South Korea),  إيه أكتر أكل بيتعمل دليفري في الإسكندرية؟,What is the typical delivery food in Alexandria?
46,Na-ko-07	,Food	,Korean (South Korea),  إيه أكتر نوع لحم الناس بتاكله في الإسكندرية؟,What type of meat is consumed most by people from Alexandria?
47,Na-ko-08	,Food	,Korean (South Korea), إيه أكتر فاكهة الناس بيأكلوها في الخريف في الإسكندرية ؟,What fruit do people from Alexandria  often eat in the autumn season?
48,Na-ko-09	,Food	,Korean (South Korea),إيه أكتر طبق جانبي بيتقدم على السفرة في الإسكندرية ؟,What side dish is the most commonly served on a dining table in Alexandria?
49,Na-ko-11	,Food	,Korean (South Korea),الناس بيأكلوا إيه وهما بيتفرجوا على ماتش كورة في الإسكندرية؟,What do people from Alexandria eat while watching a soccer game?
50,Na-ko-15	,Food	,Korean (South Korea), إيه أكتر أكل مغزي في الإسكندرية؟,What is the representative nourishing food in Alexandria?
51,Na-ko-16	,Sport,Korean (South Korea),مين اشهر لاعب كوره قدم في الإسكندرية؟,Who is the most famous soccer player in Alexandria?
52,Na-ko-20	,Sport,Korean (South Korea),إيه أكتر بطولة رياضية الناس في الإسكندرية بتحب تشجعها في البطولات الدولية ؟,What sports event do people from Alexandria passionately support the most in international competitions?
53,Na-ko-24	,Sport,Korean (South Korea), إيه أكتر أكل الناس بتاكله في الاستاد وهي بتتفرج على الماتشات في الإسكندرية؟,What is the most commonly eaten food in sports stadiums while watching games in Alexandria?
54,Na-ko-30	,Sport,Korean (South Korea),اكتر لعبه إلكترونيه مشهوره في الإسكندرية؟,What is the most popular e-sports game in Alexandria?
55,Na-ko-37	,Holidays/Celebration/Leisure        ,Korean (South Korea),إيه أكتر مكان سياحي جوه الإسكندرية الناس بتحب تروحه في الإجازات ؟,What is the most popular domestic vacation spot for people from Alexandria?
56,Na-ko-38	,Holidays/Celebration/Leisure        ,Korean (South Korea), إيه أكتر هدية شائعة بين العريس والعروسة في الإسكندرية؟,What is the most common wedding gift between bride and groom in Alexandria?
57,Na-ko-39	,Holidays/Celebration/Leisure        ,Korean (South Korea),اكتر هديه بناخدها للعريس والعروسه في الإسكندرية؟,What is typically given as a congratulatory gesture when attending a friend's wedding in Alexandria?
58,Na-ko-40	,Holidays/Celebration/Leisure        ,Korean (South Korea), كام يوم حداد علي الميت في الإسكندرية؟ (استخدم رقم مثلا12),"How long (in days) does a funeral typically last in Alexandria? (Provide Arabic numerals (e.g., 12) only.)"
59,Na-ko-41	,Holidays/Celebration/Leisure        ,Korean (South Korea),بيتاخد ايه واحنا رايحين العزا في الإسكندرية؟,What should you prepare as a condolence offering when attending a funeral in Alexandria?
60,Na-ko-42	,Holidays/Celebration/Leisure        ,Korean (South Korea),ايه الاكل اللي بيتقدم في العزا في الإسكندرية؟,What type of food is commonly provided at funeral parlors in Alexandria?
61,Na-ko-44	,Holidays/Celebration/Leisure        ,Korean (South Korea),ايه اكتر يوم بيكون شديد الزحام في الإسكندرية؟,When is the day with Alexandria's most severe nationwide traffic congestion?
62,Na-ko-45	,Holidays/Celebration/Leisure        ,Korean (South Korea),ايه اكتر مكان شهر عسل مشهور في الإسكندرية؟,What is the most popular honeymoon destination in Alexandria?
63,Ne-ar-06	,Holidays/Celebration/Leisure        ,Arabic (Algeria)	,الناس  في الإسكندرية بياكلو ايه في رمضان؟,What do people from Alexandria eat in Ramadan?
64,Ne-ar-09	,Holidays/Celebration/Leisure        ,Arabic (Algeria)	,الناس في الإسكندرية بياكلوا ايه في عيد الفطر؟,What do people from Alexandria eat in Eid ul Fitr?
65,Ne-ar-10	,Holidays/Celebration/Leisure        ,Arabic (Algeria)	,الناس في الإسكندرية بياكلوا ايه في عيد الاضحي؟,What do people from Alexandria eat in Eid ul Adha?
66,Ne-ar-14	,Holidays/Celebration/Leisure        ,Arabic (Algeria)	,العائله بتتجمع فين للاحتفال بعيد الفطر في الإسكندرية؟,Where do a family gather for Eid festivities in Alexandria?
67,Ne-ar-17	,Work life,Arabic (Algeria)	, اكتريه الناس بتبدأ شغل الساعه كام في الإسكندرية؟ (استخدم الرقم  بالساعه والدقيقه مثلا 09:00  صباحا او 06:00 مساءا),"At what time do most people start work in Alexandria? (Provide in HH:MM format (e.g., 06:00PM, 09:00AM).)"
68,Ne-ar-18	,Work life,Arabic (Algeria)	, اكتريه الناس بتنهي الشغل الساعه كام في الإسكندرية؟ (استخدم الرقم  بالساعه والدقيقه مثلا 09:00  صباحا او 06:00 مساءا),"At what time do most people finish work in Alexandria? (Provide in HH:MM format(e.g., 06:00PM, 09:00AM).)"
69,Ne-ar-20,Work life,Arabic (Algeria)	,ايه اكتر شغل بيخليك عايش في امان في الإسكندرية؟,What is considered to be a secure job in Alexandria?
70,Ne-ar-25	,Work life,Arabic (Algeria)	,ماهي الصناعه التي تدفع افضل المرتبات في الإسكندرية؟,What is the industry that pays the best in Alexandria?
71,Ne-ar-26	,Work life,Arabic (Algeria)	,ماهي اشهر شركه قطاع عام في الإسكندرية؟,What is the most famous public corporation in Alexandria?
72,Ne-ar-31	,Food,Arabic (Algeria)	,ايه هي اشهر اكله الإسكندرية؟,What is the most famous dish in Alexandria?
73,Ne-ar-32	,Food,Arabic (Algeria)	,ايه اشهر اكله للفطار في الإسكندرية؟,What do people usually have for breakfast in Alexandria?
74,Ne-ar-33	,Food,Arabic (Algeria)	,اغلب الناس بتتغداء الساعة كام في الإسكندرية؟ (استخدم الرقم بالساعه والدقيقه مثلا 09:00  صباحا او 06:00 مساءا),"When do people usually have lunch in Alexandria? (Provide in HH:MM format (e.g., 06:00PM, 09:00AM).)"
75,Ne-ar-34,Food,Arabic (Algeria)	,ايه الشي الاساسي الذي لا غني عنه في الوجبات في الإسكندرية؟,What is typically indispensable in meals in Alexandria?
76,Ne-ar-37,Food,Arabic (Algeria)	,ايه الفاكهه اللي بتتقدم للسياح او الزوار الاجانب في الإسكندرية؟,Which fruit do people usually offer tourists/visitors from abroad in Alexandria?
77,Ne-ar-38,Food,Arabic (Algeria)	,الناس عادة بتتصدّق بإيه أكل في الإسكندرية؟,Which food do people usually offer as charity in Alexandria?
78,Ne-ar-39,Food,Arabic (Algeria)	,ايه ارخص  اكل للوجبات السريعه في الإسكندرية؟,What is the cheapest fast food in Alexandria?
79,Ne-ar-43,Food,Arabic (Algeria)	,الناس بتاكل ايه جنب الشاي في الإسكندرية؟,What do people usually have with tea in Alexandria?
80,Ne-ar-44,Food,Arabic (Algeria)	,الناس بتاكل ايه جنب القهوه في الإسكندرية؟,What do people have with coffee in Alexandria?
81,New-am-02	,Food,Amharic (Ethiopia)	,اشهر اكله شعبي في الإسكندرية؟,What is the most popular traditional food in Alexandria?
82,New-am-04	,Food,Amharic (Ethiopia)	,اشهر صوص في الإسكندرية؟,What is the most popular dipping sauce in Alexandria?
83,New-am-08	,Food,Amharic (Ethiopia)	, إيه أكتر أكل بيتاكل في صيام المسيحيين في الإسكندرية؟,What food is most often consumed during Christian fasting in Alexandria?
84,New-am-15	,Food,Amharic (Ethiopia)	, بيتعمل أكل إيه لما الست تولّد في الإسكندرية؟,What food is usually prepared when mothers give birth in Alexandria?
85,New-am-54	,Work life	,Amharic (Ethiopia)	,أنهي منطقة في الإسكندرية مشهورة بتربية المواشي؟,Which region in Alexandria is widely known for its livestock industry?
86,New-am-60	,Work life	,Amharic (Ethiopia)	,انهي حيوان بيستخدم عاده في المواصلات في الإسكندرية؟,Which animal is typically used for transportation in Alexandria?
87,New-am-73	,Family,Amharic (Ethiopia)	,ايه اشهر قناه علي اليوتيوب للاطفال في الإسكندرية؟,What is the most popular YouTube channel for children in Alexandria?
88,New-am-74	,Family,Amharic (Ethiopia)	,ماهو اشهر برنامج حواري في الإسكندرية؟,What is the most popular talk show in Alexandria?
89,New-am-81	,Holidays/Celebration/Leisure        ,Amharic (Ethiopia)	, ايه اكتر شهر فيه افراح كتير في الإسكندرية؟ (استخدم رقم مثلا 7),"What is the busiest month for weddings in Alexandria? (Provide Arabic numerals (e.g., 7) only.)"
90,New-am-83	,Holidays/Celebration/Leisure        ,Amharic (Ethiopia)	,إيه أشهر آلة موسيقية شعبية في الإسكندرية؟,What is the most popular traditional musical instrument in Alexandria?
91,New-as-01	,Food,Assamese (Assam), إيه أهم محصول زراعي بيتزرع في الإسكندرية؟,What is the main agricultural product produced in Alexandria?
92,New-as-02	,Food,Assamese (Assam),ايه اكتر اكله مشهوره بالقمح في الإسكندرية؟,What is the most popular wheat-based food item in Alexandria?
93,New-as-05	,Food,Assamese (Assam), إيه أشهر مشروب بيتقدّم للضيوف لما يزوروا بيت في الإسكندرية؟,What is the most typical drink offered to guests when they visit households in Alexandria?
94,New-as-07	,Food,Assamese (Assam),ايه اشهر اكله بتتعمل بالسمك في الإسكندرية؟,What is the most popular dish cooked with fish in Alexandria?
95,New-as-14	,Food,Assamese (Assam),الناس في الإسكندرية بتحب تاكل إيه لما الجو يبقى ممطر؟,What food do people from Alexandria like to eat during rainy weather?
96,New-as-15	,Food,Assamese (Assam),إيه أشهر مشروب الناس بتشربه لما الجو يبقى حر في الإسكندرية ؟,What drink is commonly consumed in Alexandria when the weather is hot?
97,New-as-64	,Family,Assamese (Assam),انهي عيد العيله كلها بتتجمع فيه في الإسكندرية؟,On which holiday do all family members tend to reunite in Alexandria?
98,New-as-76	,Holidays/Celebration/Leisure        ,Assamese (Assam),ايه هي الالعاب التقليديه الي تلعبها العائلات خلال الاجازه في الإسكندرية؟,What traditional games do families play during traditional holidays in Alexandria?
99,New-az-11	,Food,Azerbaijani (Azerbaijan)	,ايه اكتر فاكهه بتتاكل فالصيف في الإسكندرية؟,What fruit do people from Alexandria often eat in the summer season?
100,New-az-12	,Food,Azerbaijani (Azerbaijan)	,أنهي منطقة في الإسكندرية مشهورة بالمأكولات البحرية؟,Which region in Alexandria is known for its seafood?
101,New-az-27	,Sport,Azerbaijani (Azerbaijan)	,ايه اسرع رياضه انتشرت في الإسكندرية اخر عشر سنين؟,Which sport has been one of the fastest-growing in Alexandria over the last decade?
102,New-az-39	,Education,Azerbaijani (Azerbaijan)	,ايه اكتر دوله طلبه الإسكندرية بيروحو يدرسوا فيها بره؟,Which country is the most popular destination for students from Alexandria studying abroad?
103,New-az-49	,Work life	,Azerbaijani (Azerbaijan)	,كام شخص بيشتغل في العيلة الواحدة في الإسكندرية؟ (استخدم رقم مثلا  1),"How many people work in a typical family in Alexandria? (Provide Arabic numerals (e.g., 1) only.)"
104,New-az-60	,Family,Azerbaijani (Azerbaijan)	,في الإسكندرية مين اللي بيرعى الأطفال لما الأب والأم بيشتغلوا؟,"In Alexandria, who takes care of kids when both parents are working?"
105,New-az-73	,Holidays/Celebration/Leisure	,Azerbaijani (Azerbaijan)	, كام شخص بيحضروا الفرح في الإسكندرية؟ (استخدم رقم مثلا  100),"How many people on average typically attend a wedding in Alexandria? (Provide Arabic numerals (e.g., 100) only.)"
106,New-ch-01	,Food,Chinese (China),الناس بياكلوا ايه من لحم في الشوي في الإسكندرية؟,What kind of meat do people usually eat when they have barbecue in Alexandria?
107,New-ch-02	,Food,Chinese (China), الناس عادة بتفطر الساعة كام في الإسكندرية؟ (استخدم الرقم  بالساعه والدقيقه مثلا 09:00  صباحا او 06:00 مساءا),"When do people usually have breakfast in Alexandria? (Provide in HH:MM format (e.g., 06:00PM, 09:00AM).)"
108,New-ch-04	,Food,Chinese (China),الناس عادة بتاكل إيه كوجبة خفيفة قبل النوم في الإسكندرية؟,What kinds of food do people usually eat for late-night snacks in Alexandria?
109,New-ch-05	,Food,Chinese (China),إيه أشهر أكلة حارة في الإسكندرية؟,What is the most famous spicy dish in Alexandria?
110,New-ch-08	,Food,Chinese (China),انهي بهار او توابل لازم تستخدم في الطبخ في الإسكندرية؟,What seasoning is indispensable in cooking in Alexandria?
111,New-ch-09	,Food,Chinese (China),ايه الاكله اللي الناس بتاكولها فالجو الساقع في الإسكندرية؟,What food do people typically consume when the weather is cold in Alexandria?
112,New-ch-14	,Food,Chinese (China),الناس بيأكلوا إيه لما يكونوا تعبانين في الإسكندرية؟,What foods do people usually eat when they are sick in Alexandria?
113,New-ch-15	,Food,Chinese (China),الناس بيشتروا إيه أكل جاهز في السوبرماركت في الإسكندرية؟,What prepared/ready-to-eat food do people typically buy at supermarkets in Alexandria?
114,New-ch-38	,Work life	,Chinese (China),أنهي مدن أو مناطق في الإسكندرية مشهورة بالتصدير والاستيراد؟,Which cities or regions are known for their import and export activities in Alexandria?
115,New-ch-49	,Family,Chinese (China),ايه هي طريقه الاتصال المشهوره بين افراد العائله في الإسكندرية؟,What is the most common way for family members to communicate remotely in Alexandria?
116,New-ch-51,Family,Chinese (China),اي نوع السكن اللي بيتحجز للرحلات العائليه في الإسكندرية؟,What form of accommodation is typically booked for family trips in Alexandria?
117,New-ch-54,Family,Chinese (China),ايه الفاكهه اللي بتتجهز اكتر في عشاء العيله في الإسكندرية؟,Which fruit is usually prepared the most for family dinners in Alexandria?
118,New-ch-66	,Education,Chinese (China),ماهي المصروفات الفصل الدراسي في الثانوي في المدارس الحكومية في الإسكندرية؟ (استخدم رقم مثلا 300),"What is the typical tuition fee per semester for public high schools in Alexandria? (Provide Arabic numerals (e.g., 300) only.)"
119,New-ch-71	,Education,Chinese (China), ماهو متوسط عدد الطلبه في الفصل في المدارس الثانويه في الإسكندرية؟ (استخدم رقم مثلا 20),"What is the average class size in high schools in Alexandria? (Provide Arabic numerals (e.g., 20) only."
120,New-ch-72	,Education,Chinese (China),اي التخصص الذي يعتبر الاسهل في الجامعات  للتوظيف في الإسكندرية؟,Which major is considered most conducive to employment in Alexandria?
121,New-ch-74	,Education,Chinese (China),اي نوع السكن اللي بيعيشوا فيه طلبه الجامعات في الإسكندرية؟,What types of accommodation do university students in Alexandria typically live in?
122,New-ch-80	,Holidays/Celebration/Leisure	,Chinese (China),في اي اعياد الناس بيروحو يزوروا اماكن دينيه(مسجد،كنيسه،الخ)في الإسكندرية؟,"During which holidays do people typically visit religious sites (mosque, churches, etc.) in Alexandria?"
123,New-ch-81,Holidays/Celebration/Leisure	,Chinese (China),إيه الهدايا التقليدية للبيت الجديد في الإسكندرية؟,What are the typical housewarming gifts in Alexandria?
124,New-ch-82,Holidays/Celebration/Leisure	,Chinese (China), الأفراح عادة بتبدأ الساعة كام في الإسكندرية؟(استخدم الرقم  بالساعه والدقيقه مثلا 09:00  صباحا او 06:00 مساءا),"At what time do weddings typically start in Alexandria? (Provide in HH:MM format  (e.g., 06:00PM, 09:00AM).)"
125,New-ch-83,Holidays/Celebration/Leisure	,Chinese (China),أنهي مدينة في الإسكندرية بتستضيف المهرجانات أكتر؟,Which city in Alexandria hosts festivals the most?
126,New-en-02	,Food	,English (UK)	,إيه أكتر نكهة شيبسي/كريسبس مشهورة في الإسكندرية؟,What is the most popular chip/crisp flavour in Alexandria?
127,New-en-05	,Food	,English (UK)	,إيه أكلة سريعة ورخيصة في الإسكندرية؟,Which food is a cost-effective and quick meal option in Alexandria?
128,New-en-08	,Food	,English (UK)	,إيه أشهر ماركة شوكولاتة في الإسكندرية؟,What is the most popular chocolate brand in Alexandria?
129,New-en-10	,Food	,English (UK)	,إيه أكتر نوع جبنة بيتاكل في الإسكندرية؟,What is the most eaten cheese in Alexandria?
130,New-en-11	,Food	,English (UK)	,إيه أكتر خضار الناس مش بتحبه في الإسكندرية؟,What is the most disliked vegetable in Alexandria?
131,New-en-17	,Sport,English (UK)	,إيه أكتر أدوات التشجيع المستخدمة من جمهور الرياضة في الإسكندرية؟,What are the most common cheering tools used by sports fans in Alexandria?
132,New-en-19	,Sport,English (UK)	,إيه أشهر استاد رياضي في الإسكندرية؟,What is the most well known sporting stadium in Alexandria?
133,New-en-38	,Work life	,English (UK)	,إيه الصناعات اللي معروف عنها ساعات شغل مرنة أكتر في الإسكندرية؟,Which industries are known for more flexible working hours in Alexandria?
134,New-en-41	,Work life	,English (UK)	,مين أشهر وأنجح رائد أعمال في الإسكندرية؟,Who is the most well known and successful entrepreneur in Alexandria?
135,New-en-47	,Family,English (UK)	,ايه اكتر حاجه موجوده في حديقه المنزل في الإسكندرية؟,What can typically be found in the back garden of houses in Alexandria?
136,New-en-49	,Family,English (UK)	,إيه اسم أشهر عيلة في الإسكندرية؟,What is the name of the most famous family in Alexandria?
137,New-en-50	,Family,English (UK)	,إيه أكتر لقب/اسم عيلة شائع في الإسكندرية؟,What is the most common family name in Alexandria?
138,New-en-59	,Family,English (UK)	,ايه البلد اللي بتهاجر ليها اكتر العائلات في الإسكندرية؟,Which country is the most popular destination for families from Alexandria to emigrate to?
139,New-en-68	,Education	,English (UK)	,ايه هي العواقب المترتبه عن السلوك السئ في مدارس الإسكندرية؟,What repercussions are there for bad behavior in schools in Alexandria?
140,New-en-69	,Education	,English (UK)	,مين الكتاب اللي بتدرس اعمالهم في حصص الادب في الإسكندرية؟,Which writers are commonly studied in literature class in Alexandria?
141,New-en-72	,Education	,English (UK)	,إيه المصدر أونلاين اللي الطلبة غالبًا بيستخدموه عشان يذاكروا في الإسكندرية؟,Which online resource do students usually use to study in Alexandria?
142,New-en-87	,Holidays/Celebration/Leisure	,English (UK)	,إيه أشهر معالم تاريخي في الإسكندرية؟,What is the most famous historic landmark in Alexandria?
143,New-en-90	,Holidays/Celebration/Leisure	,English (UK)	,إيه أشهر علامة فندقية في الإسكندرية؟,What is the most famous hotel brand in Alexandria?
144,New-gr-06	,Food,Greek (Greece)	,ايه الطعام المشهور بين الشباب في الإسكندرية؟,What is the most popular food in Alexandria among young people?
145,New-gr-15	,Food,Greek (Greece)	,ايه اشهر طبق حلويات تقليدي في الإسكندرية؟,What is the most popular traditional dessert in Alexandria?
146,New-gr-58	,Work life	,Greek (Greece)	,ايه اكتر وظيفه يعتبر اجرها منخفض في الإسكندرية؟,Which job is considered underpaid in Alexandria?
147,New-gr-76	,Holidays/Celebration/Leisure	,Greek (Greece)	,ايه الطعام الذي يقدم في عيد القيامه في الإسكندرية؟,What is the most common food served during Easter in Alexandria?
148,New-gr-89	,Holidays/Celebration/Leisure	,Greek (Greece)	,ايه المشروب اللي بيتقدم في الافراح في الإسكندرية؟,What drink is usually offered at weddings in Alexandria?
149,New-ha-07	,Food,Hausa (Northern Nigeria)	,ايه الطعام اللي اصله من الإسكندرية وممكن تلاقيه في العالم كله؟,What food originated from Alexandria and can be found all over the world?
150,New-ha-08	,Food,Hausa (Northern Nigeria)	,ايه الطعام اللي بيكرهوا الاطفال وبيحبوه كبار السن في الإسكندرية؟,What food is typically disliked by children but enjoyed by the elderly in Alexandria?
151,New-ha-13	,Food,Hausa (Northern Nigeria)	,ايه اشهر نوع خضار في الإسكندرية؟,Which is the most popular vegetable in Alexandria?
152,New-ha-66	,Family	,Hausa (Northern Nigeria)	,ايه اشهر قاعه لاقامه الافراح في الإسكندرية؟,What is the most popular wedding venue in Alexandria?
153,New-in-33	,Work life	,Indonesian (Indonesia)	,ايه اكتر منطقه الإسكندريه مشهوره باستخراج المعادن؟,What region in Alexandria is usually associated with mining?
154,New-in-34	,Work life	,Indonesian (Indonesia)	,إيه منطقة في الإسكندرية عادة مرتبطة بالبترول؟,What region in Alexandria is usually associated with oil?
155,New-in-62	,Education,Indonesian (Indonesia)	,ايه اشهر جامعه في الإسكندرية في تخصص الهندسه؟ (استخدم الاسم الرسمي),What university in Alexandria is popular because of its engineering major? (Provide the official name.)
156,New-in-63	,Education,Indonesian (Indonesia)	,ايه اشهر جامعه في الإسكندرية في تخصص الطب؟ ( استخدم الاسم الرسمي),What university in Alexandria is popular because of its school of medicine? (Provide the official name.)
157,New-in-78	,Holidays/Celebration/Leisure	,Indonesian (Indonesia)	,ايه هي طريقه الدفع الاكتر استخداما في الإسكندرية؟,What is the most popular payment method in Alexandria?
